raw name,cleaned name,first_appearance,last_appearance,count,title
T J Harvey,Tj Harvey,2016-02-18,2019-05-30,18,Member of Parliament
T Ramasamy,T Ramasamy,2024-08-09,2024-08-09,1,"Executive Director, Gastroenterology Infection and Viral Diseases"
T Swerdfager,T Swerdfager,2012-08-07,2012-08-07,1,Assistant Deputy Minister
T-j Harvey,Tj Harvey,2017-06-08,2017-06-08,1,Member of Parliament
T. J. Harvey,Tj Harvey,2017-04-11,2018-04-26,4,Member of Parliament
T. Kendal Hembroff,T. Kendal Hembroff,2018-02-07,2018-02-07,1,Director of Policy
T. Mckay,T. Mckay,2008-07-21,2008-07-21,1,Minister's Staff
T. Peatt,T. Peatt,2008-07-21,2008-07-21,1,Minister's Staff
T.j Harvey,Tj Harvey,2017-06-07,2018-11-06,3,Member of Parliament
T.j. Harvey,Tj Harvey,2015-12-10,2019-05-06,68,Member of Parliament
Taako Von Popta,Tako Van Popta,2023-02-14,2023-02-14,1,Member of Parliament
Taayo Simmonds,Taayo Simmonds,2013-09-19,2015-03-05,12,Policy Advisor
Tab Borden,Tab Borden,2014-07-10,2014-07-10,1,Deputy Director
Tabitha Bernard,Tabitha Bernard,2011-11-15,2015-02-26,7,Parliamentary Assistant
Tabitha Takeda,Tabitha Takeda,2021-05-18,2021-08-06,4,"Chief, Policy and Program Development"
Tabitha Takedo,Tabitha Takeda,2021-05-11,2021-05-11,1,"Chief, Policy and Program Development"
Tafu Seguchi,Tafu Seguchi,2024-01-26,2024-01-26,1,Program Technical Support Officer
Taguchi Joel,Taguchi Joel,2013-03-02,2013-03-02,1,"Director, Communications"
Tahara Ochora Briggs,Tahara Ochora Briggs,2022-11-21,2022-11-21,1,Constituency Assistant
Taheer Mohamed,Taheer Mohamed,2022-09-09,2022-09-09,1,Manager
Taher Assem,Taher Assem,2024-08-13,2024-08-13,1,Policy Analyst
Tahiha Bakht,Tahiha Bakht,2018-12-12,2018-12-12,1,"Senior Manager, Operations"
Tahiya Bahkt,Tahiya Bahkt,2020-03-17,2021-03-17,9,"Senior Advisor, Minister of Health"
Tahiya Bakht,Tahiya Bakht,2016-09-20,2022-04-11,167,Senior Advisor
Tahiya Bakta,Tahiya Bahkt,2021-03-01,2021-03-01,1,"Senior Advisor, Minister of Health"
Tahiya Bhakt,Tahiya Bhakt,2020-07-27,2020-07-31,2,Senior Policy Advisor
Tahyia Bakht,Tahyia Bakht,2017-02-23,2017-02-23,1,Regional Advisor
Tak Van Popta,Tako Van Popta,2020-03-04,2020-03-04,1,Member of Parliament
Taki Sara Ntakis,Taki Sara Ntakis,2009-02-12,2009-02-12,1,"Directorate of Policy and Priorities, Infrastructure Canada"
Taki Sarakis,Taki Sarakis,2012-09-07,2012-09-07,1,"Assistant Deputy Minister, Policy and Communications"
Taki Sarantakis,Taki Sarantakis,2009-01-16,2025-03-05,80,President
Taki Saratakis,Taki Sarakis,2012-09-07,2012-09-07,1,"Assistant Deputy Minister, Policy and Communications"
Tako Van Popta,Tako Van Popta,2020-01-30,2025-03-05,217,Member of Parliament
Tako Van Pota,Tako Van Pota,2021-01-27,2021-01-27,1,Member of Parliament
Tal Elharrar,Tal Elharrar,2023-05-17,2023-05-17,1,Senior Director
Tala Barmada,Tala Barmada,2024-06-03,2024-06-03,1,Community Engagement Officer
Talal Dakalbab,Talal Dakalbab,2021-03-22,2025-05-05,50,Assistant Deputy Minister
Talal Dekalbab,Talal Dekalbab,2022-11-24,2023-10-31,2,Assistant Deputy Minister
Talal Dkalbab,Talal Dakalbab,2024-11-04,2024-11-04,1,Assistant Deputy Minister
Talal Kairouz,Talal Kairouz,2020-04-06,2020-04-07,2,Project Finance Manager
Talal Lairouz,Talal Kairouz,2021-11-05,2021-11-05,1,Project Finance Manager
Taleeb Noormohamed,Taleeb Noormohamed,2021-11-05,2025-02-26,240,Member of Parliament
Taleesha Thorogood,Taleesha Thorogood,2016-08-15,2017-07-18,13,Stakeholder Relations Assistant
Tamaini Snaith,Tamaini Snaith,2012-10-03,2023-10-23,3,Executive Director
Tamar Abdallah,Tamer Abdallah,2017-09-15,2017-09-15,1,Policy Advisor
Tamara Allard,Tamara Allard,2020-08-11,2021-02-19,2,District Director
Tamara Brown,Tamara Brown,2023-10-03,2023-10-03,1,"Manager, Strategic Planning and Engagement"
Tamara Demos,Tamara Demos,2018-03-19,2022-06-08,6,"Managing Director, Private Pension Plans Division"
Tamara Fast,Tamara Fast,2020-02-12,2023-12-11,13,Senior Implementation Officer
Tamara Figol,Tamara Figol,2017-03-14,2017-03-14,1,"Senior International Development Officer, Inter-American Program"
Tamara Gomes,Tamara Gomes,2022-08-22,2022-08-22,1,Assistant Chief of Staff
Tamara Hudge,Tamara Rudge,2023-05-02,2023-05-02,1,Director General
Tamara Jansen,Tamara Jansen,2019-11-20,2021-07-21,46,Member of Parliament
Tamara Janssen,Tamara Jansen,2020-02-24,2020-12-16,2,Member of Parliament
Tamara Jensen,Tamara Jansen,2020-12-16,2021-05-27,3,Member of Parliament
Tamara Kane,Tamara Kane,2021-09-27,2021-09-27,1,"Manager, Prairie Federal Council"
Tamara Kronis,Tamara Kronis,2025-05-22,2025-05-30,3,Member of Parliament
Tamara Krygier-baum,Tamara Krygier-baum,2023-06-29,2024-12-11,4,Senior Investment Analyst
Tamara Mawhinney,Tamara Mawhinney,2018-07-30,2024-12-10,4,Ambassador
Tamara Mckee,Tamara Mckee,2025-05-06,2025-05-06,1,Executive Assistant
Tamara Ramsey,Tamara Ramsey,2024-09-25,2024-09-25,1,"Executive Director, PDD"
Tamara Rudge,Tamara Rudge,2009-09-30,2025-05-14,94,Director General
Tamara Rugde,Tamara Rugde,2023-11-14,2023-11-14,1,"Director General, Surface Transportation Policy"
Tamara Serjak,Tamara Serjak,2018-06-25,2018-06-25,1,Lead Project Manager
Tamara Shaikho,Tamara Shaikho,2022-11-25,2025-01-23,2,Analyst
Tamara Sone,Tamara Sone,2025-04-04,2025-04-04,1,Senior Policy Analyst
Tamara Sorger,Tamara Sorger,2024-09-25,2024-09-25,1,Deputy Director
