raw name,cleaned name,first_appearance,last_appearance,count,title
Y. Baltacioglu,Y. Baltacioglu,2008-07-08,2008-07-08,1,Deputy Minister
Ya 'ara Saks,Ya'ara Saks,2021-06-15,2021-06-15,1,Member of Parliament
Ya'ara Saks,Ya'ara Saks,2020-11-25,2025-03-07,286,Member of Parliament
Ya'ra Saks,Ya'ara Saks,2021-02-09,2021-04-16,3,Member of Parliament
Ya'raa Saks,Ya'ara Saks,2021-05-21,2021-05-21,1,Member of Parliament
Yaa Cole,Yaa Cole,2020-07-10,2023-10-24,5,Policy Analyst
Yaara Sakas,Ya'ara Saks,2021-12-02,2021-12-02,1,Member of Parliament
Yaara Saks,Ya'ara Saks,2021-03-16,2023-02-13,4,Member of Parliament
Yad Bhuller,Yad Bhuller,2020-08-20,2020-08-20,1,"Acting Director General, Health Evaluation Directorate"
Yaelle Gang,Yaelle Gang,2013-04-26,2015-04-30,82,"Special Assistant, Policy and Communications"
Yaelle Gange,Yaelle Gange,2013-06-06,2013-09-20,2,Executive Assistant
Yaelle Sang,Yaelle Sang,2013-12-02,2013-12-02,1,Policy Advisor
Yahya Alikhan,Yahya Alikhan,2023-08-21,2024-02-09,3,Legislative Assistant
Yakabuski John,Yakabuski John,2011-03-08,2011-03-08,1,Member of Parliament
Yamirka Gomez,Yamirka Gomez,2019-04-23,2019-04-23,1,Assistant to the Director General
Yan Foucher,Yan Foucher,2018-06-19,2024-02-16,3,Policy Advisor
Yan Plante,Yan Plante,2010-02-25,2018-11-22,25,Chief of Staff
Yan Poirier,Yan Poirier,2016-02-23,2016-02-23,1,Director
Yan William,Yan William,2010-06-10,2010-06-10,1,Acting Director
Yana Almer,Yana Almer,2020-11-17,2025-02-25,10,Executive Assistant
Yana Lukasheh,Yana Lukasheh,2016-04-12,2017-05-18,5,Parliamentary Affairs Advisor
Yana Titarenko,Yana Titarenko,2024-10-29,2024-10-29,1,Director of Communications
Yanelle Gang,Yaelle Sang,2013-11-29,2013-11-29,1,Policy Advisor
Yaneth Mahecha Bolanos,Yaneth Mahecha Bolanos,2025-02-24,2025-02-24,1,Policy Analyst
Yanick Clement-godbout,Yanick Clement-godbout,2009-07-09,2018-10-03,4,"Senior Program Manager, Retrofit Assessments"
Yanick Gauthier,Yanick Gauthier,2008-08-20,2008-08-27,2,Advisor
Yanick Williams,Yanick Williams,2016-12-08,2016-12-08,1,Policy Advisor
Yanique Williams,Yanique Williams,2016-04-12,2020-10-09,157,Policy Advisor
Yanique Willliams,Yanique Willliams,2016-07-06,2016-07-06,1,Policy Advisor and Ontario Regional Advisor
Yann Borgne,Yann Borgne,2018-09-26,2018-12-14,8,Special Assistant to the Parliamentary Secretary
Yann Bourne,Yann Bourne,2019-01-30,2019-01-30,1,Assistant to the Parliamentary Secretary
Yann Denis,Yann Denis,2023-05-08,2024-10-30,6,"Manager, Industry and Academic Relations"
Yann Malara,Yann Malara,2009-08-19,2009-08-19,1,"Manager, Project Management Office"
Yanne Messi Ngabelinga,Yanne Messi Ngabelinga,2021-04-27,2021-04-27,1,Acting Director General
Yanni Papadatos,Yianni Papadatos,2023-12-04,2023-12-07,2,Policy Advisor
Yannic Lamonde,Yannic Lamonde,2021-06-18,2021-06-18,1,Director
Yannick Beaudoin,Yannick Beaudoin,2017-05-30,2017-05-30,1,Policy Analyst
Yannick Beland,Yannick Beland,2024-02-27,2024-02-27,1,"Superintendent, Trois-Rivières Office"
Yannick Cote-steben,Yannick Cote-steben,2024-11-12,2024-11-12,1,Analyst-Economist
Yannick Hebert,Yannick Hebert,2017-10-10,2017-10-10,1,Acting Director General
Yannick Lacharite,Yannick Lacharite,2020-10-01,2023-03-30,2,"Director, Broadband Engineering, Mapping and Data Coordination"
Yannick Leclair,Yannick Leclair,2011-11-01,2011-11-01,1,Senior Policy Analyst
Yannick Monaghan,Yannick Monaghan,2024-12-17,2024-12-17,1,Director
Yannick Mondy,Yannick Mondy,2015-11-18,2024-01-11,21,"Director, Trade and Tariff Policy"
Yannick Money,Yannick Mondy,2023-05-15,2023-05-15,1,"Director, Trade and Tariff Policy"
Yannick Simard,Yannick Simard,2021-07-10,2021-07-10,1,Executive Assistant
Yannick Steben,Yannick Steben,2024-12-11,2024-12-11,1,Senior Economist
Yannick Williams,Yannick Williams,2020-04-29,2020-04-29,1,Director of Policy
Yannik Mondy,Yannik Mondy,2017-08-30,2017-08-30,1,"Director, International Affairs Branch"
Yannique Williams,Yannique Williams,2016-05-17,2018-10-22,4,Policy Advisor
Yaprack Baltacioglu,Yaprak Baltacioglu,2008-12-09,2009-04-14,2,Deputy Minister
Yaprah Baltacioglu,Yaprak Baltacioglu,2010-02-10,2010-02-10,1,Deputy Minister
Yaprak Baltac&#305;o&#287;lu,Yaprak Baltac&#305;o&#287;lu,2010-08-26,2010-08-26,1,Deputy Minister
Yaprak Baltachioglu,Yaprak Baltacioglu,2009-08-27,2009-08-27,1,Deputy Minister
Yaprak Baltaciaglu,Yaprak Baltacioglu,2009-07-22,2009-07-22,1,Deputy Minister
Yaprak Baltacio&#287;lu,Yaprak Baltacio&#287;lu,2009-10-28,2011-07-20,3,Deputy Minister
Yaprak Baltacioglu,Yaprak Baltacioglu,2008-07-08,2017-12-11,171,Deputy Minister
Yaprak Baltaciogly,Yaprak Baltacioglu,2008-10-01,2008-10-01,1,Deputy Minister
Yaprak Baltaciolglu,Yaprak Baltacioglu,2010-11-23,2010-11-23,1,Deputy Minister
Yaprak Baltaciouglu,Yaprak Baltacioglu,2008-12-02,2017-10-20,4,Deputy Minister
Yaprak Balticioglu,Yaprak Baltacioglu,2009-11-04,2012-06-21,2,Deputy Minister
Yaprak Baltigioulu,Yaprak Baltigioulu,2008-07-09,2008-07-09,9,Deputy Minister
Yaprak Baltocioglu,Yaprak Baltacioglu,2010-09-02,2010-09-02,1,Deputy Minister
Yarko Petryshyn,Yarko Petryshyn,2018-10-29,2019-05-29,29,Senior Policy Advisor
Yarko Petryshyn Petryshyn,Yarko Petryshyn Petryshyn,2019-06-19,2019-06-19,1,Senior Policy Advisor
Yaroslav Baran,Yaroslav Baran,2008-07-10,2009-08-28,3,Chief of Staff
Yaseen Abdulhai,Yaseen Abdulhai,2021-06-28,2021-06-28,1,Parliamentary Intern
Yash Dogra,Yash Dogra,2021-12-07,2021-12-07,2,Policy Advisor
Yash Nanda,Yash Nanda,2019-07-05,2025-06-12,503,Policy Advisor
Yasha Dogra,Yash Dogra,2021-12-07,2021-12-07,1,Policy Advisor
Yasir Naqv,Yasir Naqv,2024-10-22,2024-10-22,1,Parliamentary Secretary
Yasir Naqvi,Yasir Naqvi,2016-08-08,2025-06-03,236,Member of Parliament
Yasir Sultan,Yasir Sultan,2023-09-08,2025-02-14,6,Executive Director
Yasir Syed,Yasir Syed,2012-12-17,2012-12-17,1,Senior Project Leader
Yasman Ratansi,Yasmin Ratanski,2018-08-02,2018-08-02,1,Member of Parliament
Yasmeen Gagnon,Yasmeen Gagnon,2016-07-27,2017-09-22,2,Senior Program Officer
Yasmin Atassi,Yasmin Atassi,2023-08-31,2023-08-31,1,Policy Advisor
Yasmin Bubteina,Yasmine Bubteina,2023-06-13,2023-06-13,1,Legislative Assistant
Yasmin Gardaa,Yasmin Gardaa,2011-07-07,2011-07-07,1,Research and Policy Officer
Yasmin Gardaad,Yasmin Gardaa,2011-07-07,2011-07-07,1,Research and Policy Officer
Yasmin Ratansi,Yasmin Ratansi,2010-09-28,2021-12-02,133,Member of Parliament
Yasmin Ratanski,Yasmin Ratanski,2016-02-03,2016-02-03,2,Member of Parliament
Yasmin Ratsani,Yasmin Ratsani,2019-02-28,2019-02-28,1,Member of Parliament
Yasmin Rtansi,Yasmin Ratanski,2016-05-26,2016-05-26,1,Member of Parliament
Yasmin Shaker,Yasmin Shaker,2018-03-26,2018-06-26,8,Special Advisor
Yasmin Yasmin Ratansi,Yasmin Yasmin Ratansi,2020-08-25,2020-08-25,1,Member of Parliament
Yasmina Ghibely,Yasmina Ghibely,2014-02-04,2014-02-04,1,Senior Advisor
Yasmine Atassi,Yasmine Atassi,2021-08-05,2025-06-06,237,Policy Advisor
Yasmine Attasi,Yasmine Attasi,2021-06-23,2024-10-30,10,Senior Policy Advisor
