raw name,cleaned name,first_appearance,last_appearance,count,title
Xavier Barsalou Duval,Xavier Barsalou-duval,2017-11-27,2021-02-08,8,Member of Parliament
Xavier Barsalou-duva,Xavier Barsalou-duval,2020-11-20,2021-02-19,2,Member of Parliament
Xavier Barsalou-duval,Xavier Barsalou-duval,2016-02-02,2025-04-25,165,Member of Parliament
Xavier Daignault-simard,Xavier Daignault-simard,2024-06-18,2024-06-18,1,Senior Director
Xavier Genest,Xavier Genest,2021-04-29,2021-04-29,1,Political Advisor to Mr. Champagne
Xavier Grosmaitre,Xavier Grosmaitre,2019-05-17,2019-05-17,1,Science and Higher Education Attaché
Xavier Rodriguez,Xavier Rodriguez,2023-01-30,2023-01-30,1,Trade Commissioner
Xavier Tregan,Xavier Tregan,2018-09-05,2018-09-05,2,Advisor
Xavier Vignola,Xavier Vignola,2024-04-17,2024-04-17,1,Member of Parliament
Xenia Maren Menzies,Xenia Maren Menzies,2017-08-31,2017-08-31,1,Junior Policy Analyst
Xenia Menzies,Xenia Menzies,2016-07-08,2016-07-08,1,Junior Policy Analyst
Xenos Demetrios,Xenos Demetrios,2023-11-10,2023-11-10,1,Director General
Xi Chu,Xi Chu,2024-09-25,2024-10-11,3,Director General
Xiaorong Qiao,Xiaorong Qiao,2022-10-24,2022-10-24,1,Economic Analyst
Ximena Suar,Ximena Suar,2021-07-22,2021-07-22,1,Manager
Xin Gao,Xin Gao,2020-01-28,2021-05-11,2,Director
Xin Pang,Xin Pang,2021-08-06,2021-08-06,1,Research Scientist
Xiong Mai,Xiong Mai,2021-02-12,2021-04-15,2,Program Engineer
