raw name,cleaned name,first_appearance,last_appearance,count,title
N'kem Odita,Nkem Odita,2020-12-17,2020-12-17,1,Policy Analyst
N.r. Beck,N.R. Beck,2010-11-17,2010-11-17,1,"Director, S&T"
Nabeel Abdullah,Nabeel Abdullah,2022-07-27,2024-02-28,42,Regional Advisor
Nabih Eldebs,Nabih Eldebs,2024-04-23,2025-02-20,4,Assistant Secretary to the Cabinet
Nabil Elasraoui,Nabil Elasraoui,2022-02-17,2022-02-17,1,Venture Capital Associate
Nabila Taha,Nabila Taha,2024-07-31,2024-07-31,1,Head of Risk Management
Nada Elnabelsya,Nada Elnabelsya,2023-05-02,2023-05-02,1,Policy Advisor
Nada Fadol,Nada Fadol,2023-06-20,2023-06-20,1,"Senior Policy Analyst, Space Exploration Policy"
Nada Seamaan,Nada Seeman,2017-09-25,2017-09-25,1,Associate Deputy Minister
Nada Seaman,Nada Seeman,2017-05-09,2017-05-09,1,Associate Deputy Minister
Nada Seeman,Nada Seeman,2009-01-08,2017-03-29,3,Associate Deputy Minister
Nada Semaan,Nada Semaan,2009-04-28,2023-12-18,65,Associate Deputy Minister
Nada Sleeman,Nada Sleeman,2017-02-15,2017-02-15,1,Deputy Minister
Nada Vrancy,Nada Vrancy,2020-06-11,2020-06-11,1,Director
Nada Vrany,Nada Vrany,2008-07-22,2025-02-13,109,Director General
Nadean Langlois,Nadean Langlois,2014-08-26,2020-12-17,5,"Director General, Operations"
Nadege Adam,Nadege Adam,2016-06-29,2016-06-29,1,"Director, Communication"
Nader Daher,Nader Daher,2021-03-02,2021-03-02,1,Policy Analyst
Nadia Ahmad,Nadia Ahmad,2014-10-30,2015-12-07,8,Director General
Nadia Bouffard,Nadia Bouffard,2016-06-28,2018-10-31,3,"Director General, External Relations"
Nadia Bourely,Nadia Bourely,2013-05-09,2023-05-19,9,Director
Nadia Bourley,Nadia Bourley,2022-03-14,2022-05-24,2,Minister Counsellor
Nadia Burger,Nadia Burger,2022-05-16,2022-05-16,1,Ambassador to Indonesia
Nadia Christie,Nadia Christie,2017-11-21,2022-11-02,2,Acting Director
Nadia Fakri,Nadia Kadri,2022-10-26,2022-10-26,1,Director of Policy
Nadia Gilbert,Nadia Gilbert,2016-11-23,2024-03-08,3,"Director, Multilateral Affairs"
Nadia Hadj Mohamed,Nadia Hadj Mohamed,2016-11-22,2025-03-21,101,Policy Advisor
Nadia Hadj Mohammed,Nadia Hadj Mohammed,2018-09-27,2018-09-27,1,"Policy Advisor, Office of the Minister of International Development"
Nadia Hadj-mohamed,Nadia Hadj-mohamed,2017-06-28,2021-03-11,6,Policy Advisor
Nadia Hadj-mohammed,Nadia Hadj Mohamed,2018-02-19,2021-02-25,2,Policy Advisor
Nadia Hadjmohamed,Nadia Hadjmohamed,2019-12-18,2021-04-28,3,"Policy Advisor, Office of the Minister of Foreign Affairs"
Nadia Hamidi,Nadia Hamidi,2023-10-13,2023-11-10,2,Advisor
Nadia Hamoui,Nadia Hamoui,2023-07-19,2023-08-10,2,Policy Advisor
